"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","Создание объявления c идентификатором продавца, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","Wed Mar 25 20:07:59 UTC 2026","passed","Wed Mar 25 20:07:59 UTC 2026","Create entity","Advertisements","",""
"","307","Получение существующего объявления","Advertisements statistics service","Wed Mar 25 20:08:05 UTC 2026","passed","Wed Mar 25 20:08:05 UTC 2026","Get entity","Advertisements","",""
"","426","Создание объявления c названием, состоящим из латинских букв: 'PearBook Lite'","Advertisements statistics service","Wed Mar 25 20:07:56 UTC 2026","passed","Wed Mar 25 20:07:57 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления c идентификатором продавца, состоящим из латинских букв: 'John'","Advertisements statistics service","Wed Mar 25 20:07:58 UTC 2026","passed","Wed Mar 25 20:07:58 UTC 2026","Create entity","Advertisements","",""
"","148","Создание объявления c названием, состоящим из значения в типе данных boolean: 'True'","Advertisements statistics service","Wed Mar 25 20:08:00 UTC 2026","passed","Wed Mar 25 20:08:00 UTC 2026","Create entity","Advertisements","",""
"","144","Создание объявления cо статистикой поля contacts, состоящим из отрицательного числа: '-1000'","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","skipped","Wed Mar 25 20:08:04 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления c ценой, состоящей из японских иероглифов: '東京は美しいです'","Advertisements statistics service","Wed Mar 25 20:08:02 UTC 2026","passed","Wed Mar 25 20:08:02 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления cо статистикой поля contacts, состоящим из очень большого числа: '10000000000000000000000000'","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","passed","Wed Mar 25 20:08:04 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления c идентификатором продавца, состоящим из значения в типе данных array: '[1000]'","Advertisements statistics service","Wed Mar 25 20:07:59 UTC 2026","passed","Wed Mar 25 20:07:59 UTC 2026","Create entity","Advertisements","",""
"","144","Создание объявления cо статистикой поля contacts, состоящим из значения в типе данных boolean: 'True'","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","passed","Wed Mar 25 20:08:04 UTC 2026","Create entity","Advertisements","",""
"","142","Создание объявления cо статистикой поля view_count, состоящим из пустой строки: ''","Advertisements statistics service","Wed Mar 25 20:08:02 UTC 2026","passed","Wed Mar 25 20:08:03 UTC 2026","Create entity","Advertisements","",""
"","429","Создание объявления c названием, состоящим из пробела в конце: 'Телефон '","Advertisements statistics service","Wed Mar 25 20:07:57 UTC 2026","passed","Wed Mar 25 20:07:58 UTC 2026","Create entity","Advertisements","",""
"","426","Создание объявления cо статистикой поля contacts, состоящей из '10000'","Advertisements statistics service","Wed Mar 25 20:07:58 UTC 2026","passed","Wed Mar 25 20:07:58 UTC 2026","Create entity","Advertisements","",""
"","149","Создание объявления cо статистикой поля view_count, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","Wed Mar 25 20:08:03 UTC 2026","passed","Wed Mar 25 20:08:03 UTC 2026","Create entity","Advertisements","",""
"","297","Получение существующих объявлений","Advertisements statistics service","Wed Mar 25 20:08:05 UTC 2026","passed","Wed Mar 25 20:08:05 UTC 2026","Get entities","Advertisements","",""
"","769","Создание двух одинаковых объявления","Advertisements statistics service","Wed Mar 25 20:07:55 UTC 2026","passed","Wed Mar 25 20:07:56 UTC 2026","Create entity","Advertisements","",""
"","424","Создание объявления c названием, состоящим из пробела в начале: ' Телефон'","Advertisements statistics service","Wed Mar 25 20:07:57 UTC 2026","passed","Wed Mar 25 20:07:57 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления cо статистикой поля contacts, состоящим из вещественного числа: '3399.99'","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","passed","Wed Mar 25 20:08:04 UTC 2026","Create entity","Advertisements","",""
"","140","Создание объявления без поля статистики contacts","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","passed","Wed Mar 25 20:08:04 UTC 2026","Create entity","Advertisements","",""
"","282","Получение статистики существующего объявления","Advertisements statistics service","Wed Mar 25 20:08:06 UTC 2026","passed","Wed Mar 25 20:08:06 UTC 2026","Get entity","Advertisements","",""
"","422","Создание объявления c названием, состоящим из кирилических букв: 'Телевизор Закат'","Advertisements statistics service","Wed Mar 25 20:07:56 UTC 2026","passed","Wed Mar 25 20:07:56 UTC 2026","Create entity","Advertisements","",""
"","145","Создание объявления cо статистикой поля likes, состоящим из пустой строки: ''","Advertisements statistics service","Wed Mar 25 20:08:02 UTC 2026","passed","Wed Mar 25 20:08:02 UTC 2026","Create entity","Advertisements","",""
"","141","Создание объявления c названием, состоящим из значения в типе данных array: '['Чайник 1000W']'","Advertisements statistics service","Wed Mar 25 20:08:00 UTC 2026","passed","Wed Mar 25 20:08:01 UTC 2026","Create entity","Advertisements","",""
"","143","Получение несуществующего объявления","Advertisements statistics service","Wed Mar 25 20:08:04 UTC 2026","passed","Wed Mar 25 20:08:05 UTC 2026","Get entity","Advertisements","",""
