"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Создание объявления c названием, состоящим из значения в типе данных number: '123456'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","14","Создание объявления c названием, состоящим из пустого ввода: ''","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","12","Создание объявления c названием, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","12","Создание объявления cо статистикой поля likes, состоящим из японских иероглифов: '東京は美しいです'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","16","Создание объявления cо статистикой поля view_count, состоящим из значения в типе данных null: 'None'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","14","Создание объявления cо статистикой поля view_count, состоящим из отрицательного числа: '-1000'","Advertisements statistics service","2026-03-25","skipped","2026-03-25","Create entity","Advertisements","",""
"","35","Создание объявления c названием, состоящим из пробела в начале: ' Телефон'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","42","Создание объявления c ценой, состоящей из числа миллион: '1000000'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","20","Создание объявления cо статистикой поля view_count, состоящим из SQL инъекции: '' OR 1=1 --'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","13","Создание объявления cо статистикой поля contacts, состоящим из спецсимволов: '%:№;$#%#$@%'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","12","Получение объявлений с seller_id = 'Пустой ввод'","Advertisements statistics service","2026-03-25","skipped","2026-03-25","Get entity","Advertisements","",""
"","13","Создание объявления c идентификатором продавца, состоящим из пустой строки: ''","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","21","Создание объявления c ценой, состоящей из значения в типе данных string: '999'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","70","Получить объявления","Advertisements statistics service","2026-03-25","passed","2026-03-25","Get entities","Advertisements","",""
"","13","Создание объявления cо статистикой поля likes, состоящим из значения в типе данных boolean: 'True'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","12","Создание объявления cо статистикой поля likes, состоящей из '0'","Advertisements statistics service","2026-03-25","skipped","2026-03-25","Create entity","Advertisements","",""
"","12","Получение объявления c невалидным uuid","Advertisements statistics service","2026-03-25","passed","2026-03-25","Get entity","Advertisements","",""
"","14","Создание объявления c ценой, состоящей из японских иероглифов: '東京は美しいです'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","11","Создание объявления cо статистикой поля contacts, состоящим из SQL инъекции: '' OR 1=1 --'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","66","Получение статистики существующего объявления","Advertisements statistics service","2026-03-25","passed","2026-03-25","Get entity","Advertisements","",""
"","68","Создание объявления cо статистикой поля likes, состоящей из '10000'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","21","Создание объявления cо статистикой поля contacts, состоящим из отрицательного вещественного числа: '-1549.49'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","48","Получение существующего объявления","Advertisements statistics service","2026-03-25","passed","2026-03-25","Get entity","Advertisements","",""
"","39","Создание объявления cо статистикой поля view_count, состоящей из '10000'","Advertisements statistics service","2026-03-25","passed","2026-03-25","Create entity","Advertisements","",""
"","45","Получение существующих объявлений","Advertisements statistics service","2026-03-25","passed","2026-03-25","Get entities","Advertisements","",""
